253
Feature_ID,Active,AspectRatios_0,AspectRatios_1,AvgEulers_0,AvgEulers_1,AvgEulers_2,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,NumElements,NumNeighbors,Omega3s,Phases,Volumes,Volumes2
1,1,0.4457241,0.25892127,4.3719177,0.55810845,1.9244481,0.093689308,0.25902343,-0.0063352748,0.96129549,4.6017509,1.4198956,3.1597443,13.876748,6.1852012,3.5929852,-8.1909437,17.490515,-6.5074916,13.061126,1161997,41,0.61253208,1,1166.6495,1171.1465
2,1,0.83678836,0.52306402,3.212266,1.1964964,2.5611572,0.53361309,0.18012923,0.20834118,0.79962772,4.9532785,2.640887,2.9969692,0.66993761,0.56059599,0.35042027,-0.59927225,30.22229,-1.0876057,0.96041644,462,4,0.44987848,1,0.46384981,0.46987385
3,1,0.66574633,0.36166239,4.915256,1.4118764,1.2265075,-0.17527747,0.62462139,0.053766377,0.75910151,2.9873295,2.9420292,5.8295794,2.0343347,1.3543509,0.73574239,-20.199081,31.262451,-0.40799877,2.445904,7631,4,0.62559038,1,7.6615539,7.7308302
4,1,0.44670644,0.30797002,5.8027878,0.82665932,0.13573451,-0.38275135,0.12179007,0.15703915,0.90222353,1.3277719,0.64306366,5.6482162,19.299273,8.621109,5.9435973,-16.169476,18.602686,-11.303719,18.826096,3479717,95,0.43019325,1,3493.6494,3499.2507
5,1,0.35552034,0.24636367,0.86737734,0.48380059,5.4594388,-0.15889481,-0.17926434,-0.02117857,0.97065353,4.1851869,1.9271748,6.2315307,1.8225422,0.64795083,0.44900817,-6.3770337,25.450632,-7.3331652,1.5884042,2090,3,0.76534426,1,2.0983682,2.1053963
6,1,0.42955732,0.17702313,5.7911115,1.0445946,0.46701753,-0.44260204,0.23016785,0.010857503,0.86660737,1.271796,2.0697491,2.5981491,2.8216522,1.2120613,0.49949771,-10.527666,16.424568,-8.8770027,2.3413923,6694,4,0.74797547,1,6.7208023,6.7519264
7,1,0.35869727,0.21291447,1.8773065,1.4509125,4.8633289,0.051556546,-0.66147065,-0.16964319,0.72871095,3.3740225,0.80292904,5.2406545,4.4212842,1.5859027,0.94135541,-21.85215,7.0627871,-15.666452,3.3723257,20001,9,0.20588246,1,20.081083,20.155378
8,1,0.69085377,0.21474183,4.0260258,0.35874799,2.1210537,0.1034191,0.14538197,0.06690944,0.98167801,1.1416825,1.6790621,5.9933481,1.8660003,1.2891333,0.40070829,-18.378897,6.201139,-9.5181971,1.9075757,3620,4,0.60334665,1,3.6344943,3.6495543
9,1,0.70056057,0.47126564,3.1924479,1.1886524,3.436923,0.55577242,-0.068276674,-0.14269698,0.81614512,1.643224,1.6055636,4.1523895,1.0589802,0.74187982,0.49906099,-7.4449186,5.6058316,-9.9643593,1.3693227,1339,5,0.37441695,1,1.3443613,1.3493812
10,1,0.31234327,0.21024668,3.8105733,1.1437147,2.6123765,0.44694263,0.30517876,-0.058715988,0.83884478,5.1834331,0.21123305,6.1590476,1.9031112,0.59442401,0.40012282,-10.187901,25.105455,-0.15491264,1.4575936,1615,4,0.47614172,1,1.6214663,1.6345184
